cost_type,amount,time,stage_name
processing,9601.7673,4747.0576,QC_Turning
wip_holding,82.3009,4747.0576,QC_Turning
processing,42000.0,4769.0657,Packing
wip_holding,360.0,4769.0657,Packing
processing,45955.7552,4774.7168,Final_Inspection
wip_holding,3652.9574,4774.7168,Final_Inspection
processing,22321.7658,4778.9459,Laser_Marking
wip_holding,191.3294,4778.9459,Laser_Marking
processing,81328.049,4799.1593,Turning_Milling
wip_holding,697.0976,4799.1593,Turning_Milling
processing,22213.5257,4806.4504,Final_Inspection
wip_holding,2741.143,4806.4504,Final_Inspection
processing,23926.8413,4813.1271,Lapping
wip_holding,205.0872,4813.1271,Lapping
processing,42000.0,4834.7168,Packing
wip_holding,360.0,4834.7168,Packing
processing,538792.3997,4871.6286,Turning_Milling
wip_holding,4618.2206,4871.6286,Turning_Milling
processing,195817.4143,4886.7682,Round_Grinding
wip_holding,1678.435,4886.7682,Round_Grinding
processing,56994.833,4894.5483,Round_Grinding
wip_holding,488.5271,4894.5483,Round_Grinding
processing,42000.0,4894.7168,Packing
wip_holding,529.5984,4894.7168,Packing
processing,60717.5357,4921.8886,Turning_Milling
wip_holding,520.436,4921.8886,Turning_Milling
processing,107147.3239,4952.2269,QC_Turning
wip_holding,918.4056,4952.2269,QC_Turning
processing,22512.3589,4984.3874,QC_Turning
wip_holding,676.5528,4984.3874,QC_Turning
processing,28514.1594,4992.9614,Laser_Marking
wip_holding,244.4071,4992.9614,Laser_Marking
processing,60019.0664,5078.703,Laser_Marking
wip_holding,565.8931,5078.703,Laser_Marking
processing,77922.9815,5104.28,Lapping
wip_holding,667.9113,5104.28,Lapping
processing,29244.633,5120.481,Lapping
wip_holding,250.6683,5120.481,Lapping
processing,132665.075,5173.909,QC_Turning
wip_holding,1512.1223,5173.909,QC_Turning
processing,265696.9315,5186.0175,Final_Inspection
wip_holding,4726.5449,5186.0175,Final_Inspection
processing,73554.1384,5209.3573,Round_Grinding
wip_holding,630.464,5209.3573,Round_Grinding
processing,229155.9194,5232.1199,Turning_Milling
wip_holding,1964.1936,5232.1199,Turning_Milling
processing,4807.8534,5238.9883,QC_Turning
wip_holding,41.2102,5238.9883,QC_Turning
processing,48526.613,5243.2327,Laser_Marking
wip_holding,415.9424,5243.2327,Laser_Marking
processing,87159.056,5244.9939,Round_Grinding
wip_holding,747.0776,5244.9939,Round_Grinding
processing,42000.0,5246.0175,Packing
wip_holding,360.0,5246.0175,Packing
processing,8417.5874,5255.2578,Lapping
wip_holding,72.1507,5255.2578,Lapping
processing,10718.9948,5258.5456,Laser_Marking
wip_holding,117.3436,5258.5456,Laser_Marking
processing,55619.9083,5334.7148,Round_Grinding
wip_holding,476.7421,5334.7148,Round_Grinding
processing,104492.7922,5335.2929,Final_Inspection
wip_holding,2691.1483,5335.2929,Final_Inspection
processing,42000.0,5395.2929,Packing
wip_holding,360.0,5395.2929,Packing
processing,43169.7206,5396.9639,Final_Inspection
wip_holding,3014.494,5396.9639,Final_Inspection
processing,129906.1077,5444.1257,Lapping
wip_holding,1113.4809,5444.1257,Lapping
