time_min,wip
115985.1245,4
116106.8703,5
116254.3505,4
116503.0505,3
116966.6113,2
117413.0044,3
117414.8844,4
117645.3265,3
117667.194,4
118252.3612,3
118259.4001,4
118312.3612,3
118372.3612,2
118931.7609,1
119099.83,0
119185.5358,1
119874.5777,0
120764.359,1
120947.9755,2
120972.9868,3
121203.9071,4
121554.5772,3
121881.9082,2
121963.4768,3
122471.6512,4
122510.0761,3
122809.0591,2
122825.8694,3
122883.3057,2
123705.3335,3
123963.5807,4
124281.8016,3
124341.5207,4
124341.8016,3
124550.8113,2
124757.6789,1
124930.6578,0
124930.928,1
125323.6276,2
125617.8681,1
126631.3356,2
126853.0477,1
126885.5486,2
